Description	lacZ 1	lacZ 2	lacZ 3	lacZ 4	lacZ 5	lacZ 6	HA cont 1	HA cont 2	HA cont 3	HA cont 4	HA chol 1	HA chol 2	HA chol 3	HA chol 4	HA bor 1	HA bor 2	HA bor 3	HA bor 4
CP3AB_MOUSE Cytochrome P450 3A11	0.669881607	0.937806565	0.442288274	1.030912761	0.537184701	1.253076773	0.692269227	1.049054672	0.993334399	1.035349589	0.586870466	0.557326491	0.889467048	0.954542495	1.255200403	1.417567784	0.60388215	1.395869222
"C1TC_MOUSE C-1-tetrahydrofolate synthase, cytoplasmic"	0.864577118	1.284691888	0.484724113	1.160188007	1.001926574	1.37201983	1.069528081	2.026509484	0.897277053	1.235598442	1.001441272	0.836135904	1.104624609	1.183780238	0.596677639	0.933430599	0.664037834	1.641582448
DDX1_MOUSE ATP-dependent RNA helicase DDX1	0.684841932	0.817454087	1.156743625	1.326125996	0.803957809	1.418396952	0.785174854	0.895915879	1.457088052	2.011456586	0.780061558	0.827229233	1.215820313	1.210074542	0.445801543	0.48896825	0.472821195	0.798005584
SYNJ1_MOUSE Synaptojanin-1	0.540171874	0.768905228	1.709457707	1.017041128	1.209718111	1.118999848	0.577473006	0.81949975	1.305041816	1.476439739	0.546029115	0.854833034	0.970708596	0.897746611	0.518247736	0.50000926	0.906113219	0.800019203
EDC4_MOUSE Enhancer of mRNA-decapping protein 4	1.054550398	1.098311161	1.194692797	1.023559807	1.224492032	0.898131351	0.913396912	1.111120958	1.249047488	1.50177911	0.820143204	1.084014945	0.84344294	0.974579472	0.921479572	0.818886394	0.479331539	3.282703688
Q91WU0_MOUSE Expressed sequence AU018778	0.953840624	1.634882308	0.276770331	1.077898731	0.652456496	1.599626077	1.354923956	1.136090831	0.781841514	0.925043975	0.732565663	0.828954969	0.781653447	0.922875665	1.252875045	1.565712657	0.719657496	1.80419944
MYO1D_MOUSE Unconventional myosin-Id	0.30946223	0.292554973	1.998085645	1.183741751	1.675213123	1.11870359	0.350947131	0.433221194	1.042606248	1.35874461	0.23041405	0.412422567	0.902940753	0.892049416	0.241392423	0.268897776	0.822228657	0.888598494
MYH14_MOUSE Myosin-14	0.257712033	0.268591612	1.747499889	0.858475739	1.196120758	0.680938759	0.313277825	0.503033792	0.677871947	1.032368485	0.241440719	0.378099562	0.656989122	0.644066823	0.282408433	0.241886266	0.249527324	0.203612331
MYO5B_MOUSE Unconventional myosin-Vb	0.371285875	0.477620321	1.564046009	0.789408276	0.910375741	0.786005691	0.440175429	0.684997267	1.257769378	1.541272412	0.649279999	0.468364129	1.131063801	0.647181083	0.361091137	0.439475222	0.515435908	0.553262882
ACOX1_MOUSE Peroxisomal acyl-coenzyme A oxidase 1	0.8621043	1.301149525	0.989663931	1.049510929	0.621156793	1.255832104	0.963364441	0.972478819	1.491742482	1.201102901	0.764102001	0.561407463	0.801768288	1.166227063	1.011281222	1.157399182	0.931661131	3.792362864
Q3UGX2_MOUSE Spectrin beta 1	0.561511868	0.613285927	1.645933832	0.893752434	0.45633938	0.784242669	0.493847454	0.715678217	2.16021646	0.981226699	0.418146613	1.457623345	0.739378721	0.448508708	0.423633231	0.507397681	0.73909354	0.563131573
CAPR1_MOUSE Caprin-1	0.645243798	0.684865605	1.116628975	1.077210799	0.722058214	0.825951544	0.854167884	1.109206145	1.372149855	1.99401667	1.002570244	0.907487921	0.991662644	0.675812908	1.255772617	0.926777265	0.725574301	1.245842003
GAK_MOUSE Cyclin-G-associated kinase	0.332927155	0.32065193	2.237532479	0.907948239	1.403989209	0.719944433	0.378228392	0.58621469	0.700426889	1.068571731	0.327811156	0.528379189	0.493889249	0.464343391	0.320353243	0.393622645	0.361751879	0.472996353
PABP1_MOUSE Polyadenylate-binding protein 1	0.739595548	1.045449505	0.939955124	1.195520472	0.729643523	1.292929648	0.944482851	1.200498781	1.530988586	2.430289474	0.868120227	1.053860837	1.135584465	0.870679452	0.979017679	0.86477221	0.689507312	1.091024895
AP2M1_MOUSE AP-2 complex subunit mu	0.23991545	0.38939048	2.065473372	1.317037257	2.001921438	1.254501111	0.382026394	0.484158488	0.936132164	1.763328311	0.269384628	0.352523849	1.01808815	0.645287341	0.342370958	0.248189459	0.667735823	0.659068426
SVIL_MOUSE Supervillin	0.301762295	0.386971911	1.932191141	0.891501178	1.209674668	0.875225091	0.515836568	0.789070717	1.08155103	1.068143477	0.350615033	0.474914315	0.684486539	0.680360652	0.627936942	0.281500002	0.369055848	0.554610189
IGG2B_MOUSE Ig gamma-2B chain C region	1.251350385	1.619477732	0.529766589	4.853226226	1.981240789	11.30926113	2.356394205	1.207722232	4.366839079	1.192036293	1.379882847	0.964559113	1.311769295	2.115421735	1.44732606	1.093064747	0.947263848	2.371543329
SNX9_MOUSE Sorting nexin-9	0.538719291	0.759290795	1.420829143	1.640965404	2.556943031	1.762947748	0.662037479	0.687694973	1.042267943	2.725676561	0.488189699	0.799001006	1.03754793	0.842056388	0.454212145	0.82566777	0.578138501	0.692651848
B1AWE0_MOUSE Clathrin light chain A	0.238078586	0.481597406	2.549009013	1.491864096	1.939749244	0.969790124	0.504030559	0.49726425	0.683048188	1.826578897	0.304724522	0.422379457	0.823834739	0.60768847	0.268503867	0.310667727	0.288588006	0.300719436
"SPTA1_MOUSE Spectrin alpha chain, erythrocytic 1"	0.477627113	0.516130817	1.621445649	0.891255245	0.394497158	0.458151894	0.466925134	0.689826622	2.566192172	0.949233662	0.38935155	1.524784275	0.755286876	0.195544186	0.432827294	0.453935297	0.469000832	0.226008832
IGHG3_MOUSE Ig gamma-3 chain C region	1.062150283	1.064507782	0.549642242	4.344954808	2.09743616	8.457894391	1.65951391	0.791828535	4.052115089	1.553127612	0.980040322	0.697643579	1.316050989	1.908436718	1.237320358	0.946277056	0.946342367	2.587258536
LEG9_MOUSE Galectin-9	0.535303544	0.74598123	1.548749125	1.861017294	2.062212654	1.704550679	0.573620955	0.844841014	1.723824975	2.35782112	0.472123267	0.684135033	1.471760504	0.692371623	0.530976888	0.761809777	1.3654159	0.646634955
AP2S1_MOUSE AP-2 complex subunit sigma	0.383007761	0.467298593	1.615416998	1.023024685	4.850550213	0.985269819	0.434692136	0.724180692	0.958395294	1.768472622	0.26258248	0.50970083	0.747600046	0.818736162	0.367828478	0.321853636	0.411051353	1.818867519
P3C2A_MOUSE Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	0.242727611	0.269113526	2.068587015	0.930899595	1.366358898	0.822240191	0.366900029	0.53369426	0.750270436	1.029687824	0.268048105	0.359775179	0.519420011	0.46144735	0.221291069	0.276928545	0.323554672	0.396492532
DAB2_MOUSE Disabled homolog 2	0.299756125	0.374574904	2.103666354	1.384631629	1.78428426	1.037704746	0.426205944	0.573290585	0.944396426	1.620898117	0.289349811	0.502615616	0.70932985	0.627866775	0.277938427	0.430707236	2.193433059	0.482980235
SH319_MOUSE SH3 domain-containing protein 19	0.546987251	0.70370058	1.618153184	0.906062676	1.404477274	0.810845619	1.380489467	0.809462821	0.766372844	1.113328953	0.756202131	0.605784993	0.50087136	0.533850987	0.827783148	0.575135319	0.461616964	0.596218836
AP2A1_MOUSE AP-2 complex subunit alpha-1	0.362358929	0.538369048	1.815375	1.362956702	2.503251875	1.143557178	0.472619643	0.594017262	0.924093976	1.917419456	0.29920119	0.529314286	0.870055254	0.59764742	0.315691071	0.299526786	0.734344835	0.493465859
BMP2K_MOUSE BMP-2-inducible protein kinase	0.349681292	0.437506121	1.777280224	0.984372248	1.394658881	1.294260566	0.566337184	0.641585276	0.933508104	1.250021451	0.366153051	0.508738526	0.62127822	0.476701756	0.355494831	0.35079589	0.543484937	0.476085317
MYO1C_MOUSE Unconventional myosin-Ic	0.50948815	0.65881816	1.546837193	1.058094503	1.352651178	0.949122278	0.506618886	0.775766667	1.188047475	1.465919014	0.357850577	0.643869631	0.670592888	0.571688132	0.41344949	0.359582937	0.310837703	0.440360722
E9Q174_MOUSE Unconventional myosin-VI	0.264716887	0.318902049	2.06091905	1.083845187	1.718520974	0.934284917	0.395984493	0.497211552	0.681378691	0.979601452	0.250554844	0.345565514	0.437280135	0.413585363	0.21885759	0.201995305	0.155561178	0.258578209
EPS15_MOUSE Epidermal growth factor receptor substrate 15	0.354032016	0.424341156	1.737416705	0.927656134	1.63591565	0.906809543	0.435087699	0.675223444	1.013166721	1.845361977	0.350259826	0.491773651	0.724579026	0.62719001	0.317239541	0.278545505	0.476413423	0.556311598
COPA_MOUSE Coatomer subunit alpha	1.025248182	1.761144183	0.607959356	0.759132576	0.783042164	0.9225583	4.481869568	1.274607376	0.901067074	0.992149091	0.980888529	1.227575957	0.891549758	1.046025318	0.750448773	0.948869092	0.809723784	0.79469745
Q5SUH7_MOUSE Clathrin interactor 1	0.197152254	0.307929319	2.220391229	1.170344773	1.644069788	0.89513499	0.341187435	0.387090727	0.579734783	1.255699766	0.1994536	0.298468532	0.420478791	0.419415191	0.150549321	0.170804968	0.165910969	0.227134195
CLCB_MOUSE Isoform 2 of Clathrin light chain B	0.412411165	0.46554866	2.345869376	1.440254052	1.746794979	1.111613585	0.901290049	0.771899219	0.822128067	1.743078162	0.477803325	0.530664802	0.648850555	0.49697285	0.617369307	0.420295098	0.292211464	0.288533242
PICAL_MOUSE Phosphatidylinositol-binding clathrin assembly protein	0.240818908	0.278269162	2.23133958	1.141904161	2.263835782	0.893772237	0.379455294	0.605679942	0.885973034	1.640964587	0.278217915	0.364470522	0.606737094	0.522072083	0.290409746	0.345960112	0.371935312	0.211156362
F8VPN4_MOUSE Protein Agl	0.960141296	1.357396045	0.571833671	1.051088405	0.628170716	1.444270383	1.415328265	1.574677521	1.492911532	1.107484393	0.64587153	0.98276986	0.584311846	0.592664469	0.804780763	1.14677602	0.886701427	0.860163514
AP2A2_MOUSE AP-2 complex subunit alpha-2	0.234733089	0.372018902	1.938902772	1.360208093	2.526979678	1.229698431	0.355336276	0.559477155	1.06529759	2.084211276	0.250194237	0.387038637	0.77198817	0.586863516	0.254398175	0.292742758	0.38301284	0.499972682
MYO1B_MOUSE Unconventional myosin-Ib	0.267381272	0.2881697	1.542425102	1.361774267	1.901623392	0.837058062	0.314278348	0.417778967	0.954155114	1.694132858	0.262282138	0.328122905	0.513020978	0.524401392	0.203674651	0.222449466	0.226557778	0.24598529
DHB4_MOUSE Peroxisomal multifunctional enzyme type 2	0.355519462	0.431560485	0.39725117	1.020281957	1.13769864	0.887240184	0.344999408	2.874859989	0.887292249	1.431844871	0.418445269	0.365893629	0.909934457	0.8923772	0.356722217	0.35909855	0.768244217	0.882953553
CLH1_MOUSE Clathrin heavy chain 1	0.170808874	0.20082004	2.429596696	0.884360836	1.478824913	0.59418115	0.274282617	0.506175587	0.759285251	1.083116516	0.169083432	0.267479964	0.445029097	0.317873171	0.183220933	0.172314641	0.123564427	0.135917763
AP1B1_MOUSE AP-1 complex subunit beta-1	0.274135215	0.351820025	2.090922111	1.325718982	2.361844187	1.028131413	0.348960901	0.502553839	0.877993418	1.855281382	0.239151836	0.316596941	0.63590809	0.421100006	0.229674438	0.225048431	0.265045788	0.347644911
AP2B1_MOUSE AP-2 complex subunit beta	0.233497686	0.342632045	2.215618948	1.658242609	3.104094827	1.272327558	0.344958802	0.513442537	0.997165038	2.535105393	0.222576897	0.309318189	0.786468493	0.454624555	0.218553655	0.206344746	0.320118248	0.24025504
"GCAA_MOUSE Ig gamma-2A chain C region, A allele"	0.902603299	0.44727338	0.792528899	40.33614323	11.53536752	89.1582707	3.779525958	0.826767492	32.58891668	4.232283593	1.559427979	0.527259422	1.37144219	11.73014515	1.847149381	0.931095933	2.040411625	17.88480499
IGKC_MOUSE Ig kappa chain C region	0.732274836	0.230933692	0.871312579	14.06309364	4.048129965	27.38734264	5.138962268	0.542687281	11.61777472	2.102572266	1.644599718	0.293179324	1.083811428	4.02159863	1.119139752	0.451694138	1.196913451	5.712812088
IGHG1_MOUSE Ig gamma-1 chain C region secreted form	0.949702927	0.243713134	0.913287821	10.86633312	3.399737152	25.22408054	4.780955198	0.727762968	10.46754486	1.567026265	1.671570535	0.327949261	0.820096208	3.364577413	2.378370672	0.601074885	0.959405699	5.627486401
